Season,SquadClub,FirstName,LastName,Nationality,DateOfBirth,PositionDef,ShirtNo
IPL2016,Esteghlal KHU,Abolfazl,Aalaei,Brazil,0001-01-01,Midfield,30
IPL2016,Esteghlal KHU,Abolfazl,Mohamad Hassani,Iran,0001-01-01,Midfield,
IPL2016,Esteghlal KHU,Aghil,Kabi,Iran,0001-01-01,Defender,5
IPL2016,Esteghlal KHU,Ali Asghar,Ashouri,Iran,0001-01-01,Midfield,24
IPL2016,Esteghlal KHU,Alireza,Daghagheleh,Iran,0001-01-01,Midfield,25
IPL2016,Esteghlal KHU,Aloys,Nong,Cameroon,0001-01-01,Forward,
IPL2016,Esteghlal KHU,Arash,Afshin,Iran,0001-01-01,Forward,
IPL2016,Esteghlal KHU,Bagher,Hashemi,Iran,0001-01-01,Defender,28
IPL2016,Esteghlal KHU,Danial,Mahini,Iran,0001-01-01,Defender,4
IPL2016,Esteghlal KHU,Deyvid Franck Silva,Sacconi,Brazil,0001-01-01,Midfield,18
IPL2016,Esteghlal KHU,Farshad,Jaanfaza,Iran,0001-01-01,Forward,9
IPL2016,Esteghlal KHU,Farshad,Salarvand,Iran,0001-01-01,Midfield,23
IPL2016,Esteghlal KHU,Farzad,Jafari,Iran,0001-01-01,Midfield,
IPL2016,Esteghlal KHU,Goudarz,Davoodi,Iran,0001-01-01,Goalkeeper,1
IPL2016,Esteghlal KHU,Hassan,Bait Saeed,Iran,0001-01-01,Midfield,7
IPL2016,Esteghlal KHU,Hassan,Pour Hamidi,Iran,0001-01-01,Midfield,33
IPL2016,Esteghlal KHU,Hossain,Bahrami,Iran,0001-01-01,Goalkeeper,22
IPL2016,Esteghlal KHU,Hossain,Bazyari,Iran,0001-01-01,Defender,14
IPL2016,Esteghlal KHU,Hossain,Pour Hamidi,Iran,0001-01-01,Midfield,40
IPL2016,Esteghlal KHU,Mahdi,Zobaydi,Iran,0001-01-01,Midfield,11
IPL2016,Esteghlal KHU,Mehdi,Momeni,Iran,0001-01-01,Midfield,70
IPL2016,Esteghlal KHU,Mohamad,Sharifi,Iran,0001-01-01,Defender,19
IPL2016,Esteghlal KHU,Mohamad,Tayyebi,Iran,0001-01-01,Defender,2
IPL2016,Esteghlal KHU,Mohamad,Abolhassani,Iran,0001-01-01,Midfield,
IPL2016,Esteghlal KHU,Mostafa,Mahi,Iran,0001-01-01,Midfield,
IPL2016,Esteghlal KHU,Mostafa,Ghanbari Zadeh,Iran,0001-01-01,Midfield,32
IPL2016,Esteghlal KHU,Paymon,Heshmati,Iran,0001-01-01,Midfield,
IPL2016,Esteghlal KHU,Paymon,Shirzadi,Iran,0001-01-01,Defender,3
IPL2016,Esteghlal KHU,Pedram,Mohamadi,Iran,0001-01-01,Midfield,39
IPL2016,Esteghlal KHU,Rafael,Roballo,Brazil,0001-01-01,Goalkeeper,12
IPL2016,Esteghlal KHU,Raheem,Zahivi,Iran,0001-01-01,Forward,10
IPL2016,Esteghlal KHU,Sajjad,Balegh,Iran,0001-01-01,Defender,13
IPL2016,Esteghlal KHU,Salman,Bahrani,Brazil,0001-01-01,Midfield,17
IPL2016,Esteghlal KHU,Vahid,Sheikh Vaysi,Iran,0001-01-01,Goalkeeper,
IPL2016,Esteghlal KHU,Younes,Delfee,Iran,0001-01-01,Midfield,
IPL2016,Esteghlal TEH,Abdolazim,Gook,Iran,0001-01-01,Defender,30
IPL2016,Esteghlal TEH,Ali,Ghorbani,Iran,0001-01-01,Forward,17
IPL2016,Esteghlal TEH,Behnam,Barzaei,Iran,0001-01-01,Forward,77
IPL2016,Esteghlal TEH,Farshid,Bagheri,Iran,0001-01-01,Midfield,14
IPL2016,Esteghlal TEH,Farshid,Esmaeeli,Iran,0001-01-01,Midfield,88
IPL2016,Esteghlal TEH,Hossain,Hossaini,Iran,0001-01-01,Goalkeeper,22
IPL2016,Esteghlal TEH,Hossain,Kanani Zadegan,Iran,0001-01-01,Defender,5
