Season,SquadClub,FirstName,LastName,Nationality,DateOfBirth,PositionDef,ShirtNo
IPL2015,Esteghlal AHV,Adel,Masoudifar,Iran,0001-01-01,Midfield,
IPL2015,Esteghlal AHV,Adel,Kolahkaj,Iran,0001-01-01,Midfield,
IPL2015,Esteghlal AHV,Ali,Helichi,Iran,0001-01-01,Forward,
IPL2015,Esteghlal AHV,Ali,Bigdeli,Iran,0001-01-01,Forward,
IPL2015,Esteghlal AHV,Armin,Mir Doroghi,Iran,0001-01-01,Midfield,
IPL2015,Esteghlal AHV,Ehsan,Moradian,Iran,0001-01-01,Midfield,
IPL2015,Esteghlal AHV,Hamzeh,Khaziravi,Iran,0001-01-01,Midfield,
IPL2015,Esteghlal AHV,Hossain,Bahrami,Iran,0001-01-01,Midfield,
IPL2015,Esteghlal AHV,Hossain,Saaki,Iran,0001-01-01,Midfield,
IPL2015,Esteghlal AHV,Luiz,Fernando,Brazil,0001-01-01,Goalkeeper,
IPL2015,Esteghlal AHV,Maki,Sharifi,Iran,0001-01-01,Defender,
IPL2015,Esteghlal AHV,Mehdi,Eslami,Iran,0001-01-01,Goalkeeper,
IPL2015,Esteghlal AHV,Milad,Rabbani,Iran,0001-01-01,Defender,
IPL2015,Esteghlal AHV,Milad,Jafari,Iran,0001-01-01,Midfield,
IPL2015,Esteghlal AHV,Milad,Paak Parvar,Iran,0001-01-01,Midfield,
IPL2015,Esteghlal AHV,Mobin,Mir Doroghi,Iran,0001-01-01,Defender,
IPL2015,Esteghlal AHV,Mobin,Doraghi,Iran,0001-01-01,Midfield,
IPL2015,Esteghlal AHV,Mohamad,Gholami,Iran,0001-01-01,Forward,
IPL2015,Esteghlal AHV,Mohamad Esmaeel,Nazari,Iran,0001-01-01,Midfield,
IPL2015,Esteghlal AHV,Mohamad Javad,Kerdoni,Iran,0001-01-01,Defender,
IPL2015,Esteghlal AHV,Mojtaba,Rashidi,Iran,0001-01-01,Midfield,
IPL2015,Esteghlal AHV,Morteza,Mansouri,Iran,0001-01-01,Defender,
IPL2015,Esteghlal AHV,Mostafa,Saaki,Iran,0001-01-01,Midfield,
IPL2015,Esteghlal AHV,Parviz,Karimi,Iran,0001-01-01,Goalkeeper,
IPL2015,Esteghlal AHV,Pedram,Ardalani,Iran,0001-01-01,Midfield,
IPL2015,Esteghlal AHV,Reza,Ayyar,Iran,0001-01-01,Midfield,
IPL2015,Esteghlal AHV,Reza,Bahmaei,Iran,0001-01-01,Forward,
IPL2015,Esteghlal AHV,Sadegh,Zolfani,Iran,0001-01-01,Midfield,
IPL2015,Esteghlal AHV,Saeed,Salarzadeh,Iran,0001-01-01,Defender,
IPL2015,Esteghlal AHV,Saeed,Ghezel,Iran,0001-01-01,Defender,
IPL2015,Esteghlal AHV,Seyed Ali,Hossaini,Iran,0001-01-01,Defender,
IPL2015,Esteghlal AHV,Seyed Behnam,Mousavi,Iran,0001-01-01,Goalkeeper,
IPL2015,Esteghlal AHV,Shahin,Majidi,Iran,0001-01-01,Midfield,
IPL2015,Esteghlal AHV,Taleb,Reekani,Iran,0001-01-01,Forward,
IPL2015,Esteghlal KHU,Abdolhadi,Khanifar,Iran,0001-01-01,Midfield,
IPL2015,Esteghlal KHU,Aghil,Kabi,Iran,0001-01-01,Defender,
IPL2015,Esteghlal KHU,Ali Akbar,Ahaki,Iran,0001-01-01,Goalkeeper,
IPL2015,Esteghlal KHU,Ali Asghar,Ashouri,Iran,0001-01-01,Midfield,
IPL2015,Esteghlal KHU,Bagher,Hashemi,Iran,0001-01-01,Midfield,
IPL2015,Esteghlal KHU,Danial,Mahini,Iran,0001-01-01,Defender,
IPL2015,Esteghlal KHU,Eduardo Soares,Ferreira,Guinea Bissau,0001-01-01,Defender,
IPL2015,Esteghlal KHU,Farshad,Jaanfaza,Iran,0001-01-01,Forward,
IPL2015,Esteghlal KHU,Farshad,Salarvand,Iran,0001-01-01,Midfield,
IPL2015,Esteghlal KHU,Fellipe,Bertoldo,Egypt,0001-01-01,Midfield,
IPL2015,Esteghlal KHU,Fernando Jesus,Riberio,Brazil,0001-01-01,Goalkeeper,
IPL2015,Esteghlal KHU,Goudarz,Davoodi,Iran,0001-01-01,Goalkeeper,
IPL2015,Esteghlal KHU,Hakeem,Nassari,Iran,0001-01-01,Forward,
IPL2015,Esteghlal KHU,Hamdollah,Ebdam,Iran,0001-01-01,Midfield,
IPL2015,Esteghlal KHU,Hassan,Bait Saeed,Iran,0001-01-01,Midfield,
IPL2015,Esteghlal KHU,Jalal,Abdi,Iran,0001-01-01,Defender,
IPL2015,Esteghlal KHU,Komail,Haydari,Iran,0001-01-01,Midfield,
IPL2015,Esteghlal KHU,Mahdi,Zobaydi,Iran,0001-01-01,Midfield,
IPL2015,Esteghlal KHU,Maysam,Doraghi,Iran,0001-01-01,Midfield,
IPL2015,Esteghlal KHU,Mohamad,Tayyebi,Iran,0001-01-01,Defender,
IPL2015,Esteghlal KHU,Mostafa,Ghanbari Zadeh,Iran,0001-01-01,Midfield,
IPL2015,Esteghlal KHU,Mousa Salif,Coulibaly,Mali,0001-01-01,Defender,
IPL2015,Esteghlal KHU,Omid,Sink,Iran,0001-01-01,Midfield,
IPL2015,Esteghlal KHU,Paymon,Shirzadi,Iran,0001-01-01,Defender,
IPL2015,Esteghlal KHU,Raheem,Zahivi,Iran,0001-01-01,Forward,
IPL2015,Esteghlal KHU,Rouhollah,Sayfollahi,Iran,0001-01-01,Forward,
IPL2015,Esteghlal TEH,Adil,Chihi,Morocco,0001-01-01,Midfield,99
IPL2015,Esteghlal TEH,Alireza,Ramezani,Iran,0001-01-01,Midfield,
IPL2015,Esteghlal TEH,Amin,Haj Mohamadi,Iran,0001-01-01,Defender,12
IPL2015,Esteghlal TEH,Arash,Borhani,Iran,0001-01-01,Forward,9
IPL2015,Esteghlal TEH,Behnam,Barzaei,Iran,0001-01-01,Forward,77
IPL2015,Esteghlal TEH,Farshid,Esmaeeli,Iran,0001-01-01,Midfield,88
IPL2015,Esteghlal TEH,Haneef,Omranzadeh,Iran,0001-01-01,Defender,5
IPL2015,Esteghlal TEH,Hrayr,Mkoyan,Armenia,0001-01-01,Defender,15
IPL2015,Esteghlal TEH,Jaber,Ansari,Iran,0001-01-01,Midfield,11
IPL2015,Esteghlal TEH,Jassim,Karrar,Iraq,0001-01-01,Midfield,13
IPL2015,Esteghlal TEH,Khosrow,Haydari,Iran,0001-01-01,Midfield,2
IPL2015,Esteghlal TEH,Mahdi,Rajabifard,Iran,0001-01-01,Midfield,16
IPL2015,Esteghlal TEH,Maysam,Majidi,Iran,0001-01-01,Defender,20
IPL2015,Esteghlal TEH,Mehdi,Momeni,Iran,0001-01-01,Midfield,
IPL2015,Esteghlal TEH,Milad,Shaebanloo,Iran,0001-01-01,Midfield,
IPL2015,Esteghlal TEH,Milad,Fakhredini,Iran,0001-01-01,Defender,18
IPL2015,Esteghlal TEH,Mohamad Reza,Khorsandnia,Iran,0001-01-01,Midfield,3
IPL2015,Esteghlal TEH,Mohsen,Karimi,Iran,0001-01-01,Forward,28
IPL2015,Esteghlal TEH,Omid,Noorafkan,Iran,0001-01-01,Midfield,24
IPL2015,Esteghlal TEH,Omid,Ebrahimi,Iran,0001-01-01,Midfield,6
IPL2015,Esteghlal TEH,Pero,Pejic,Croatia,0001-01-01,Forward,14
IPL2015,Esteghlal TEH,Rivaldo,Barbosa,Brazil,0001-01-01,Midfield,18
IPL2015,Esteghlal TEH,Roosbeh,Cheshmi,Iran,0001-01-01,Defender,4
IPL2015,Esteghlal TEH,Sajjad,Shahbaz Zadeh,Iran,0001-01-01,Forward,10
IPL2015,Esteghlal TEH,Seyed Mahdi,Rahmati,Iran,0001-01-01,Goalkeeper,1
IPL2015,Esteghlal TEH,Vahid,Talebloo,Iran,0001-01-01,Goalkeeper,22
IPL2015,Esteghlal TEH,Yaghoub,Karimi,Iran,0001-01-01,Midfield,8
IPL2015,Foolad KHU,Abdollah,Nasseri,Iran,0001-01-01,Defender,17
IPL2015,Foolad KHU,Ahmad,Abdollahzadeh,Iran,0001-01-01,Midfield,
IPL2015,Foolad KHU,Akbar,Imani,Iran,0001-01-01,Midfield,11
IPL2015,Foolad KHU,Ali,Sina Rabbani,Iran,0001-01-01,Midfield,29
IPL2015,Foolad KHU,Alireza,Salimi,Iran,0001-01-01,Goalkeeper,1
IPL2015,Foolad KHU,Amin,Jahan Kohan,Iran,0001-01-01,Midfield,
IPL2015,Foolad KHU,Amir Hossain,Feshangchi,Iran,0001-01-01,Midfield,9
IPL2015,Foolad KHU,Aref,Aghasi Kolah Sorkhi,Iran,0001-01-01,Defender,16
IPL2015,Foolad KHU,Bahman,Jahantigh,Iran,0001-01-01,Forward,26
IPL2015,Foolad KHU,Bahman,Kamel,Iran,0001-01-01,Defender,6
IPL2015,Foolad KHU,Dorge,Kouemaha,Cameroon,0001-01-01,Forward,
IPL2015,Foolad KHU,Esmaeel,Sharifat,Iran,0001-01-01,Midfield,10
IPL2015,Foolad KHU,Hadi,Habibi Nejad,Iran,0001-01-01,Midfield,32
IPL2015,Foolad KHU,Hossain,Maleki,Iran,0001-01-01,Forward,23
IPL2015,Foolad KHU,Hossain,Ebrahimi,Iran,0001-01-01,Midfield,7
