Season,SquadClub,FirstName,LastName,Nationality,DateOfBirth,PositionDef,ShirtNo
IPL2014,Esteghlal KHU,Abdolhadi,Khanifar,Iran,0001-01-01,Midfield,20
IPL2014,Esteghlal KHU,Ali Akbar,Ahaki,Iran,0001-01-01,Goalkeeper,33
IPL2014,Esteghlal KHU,Bagher,Hashemi,Iran,0001-01-01,Defender,
IPL2014,Esteghlal KHU,Ebrahim,Salehi,Iran,0001-01-01,Midfield,7
IPL2014,Esteghlal KHU,Farzad,Jafari,Iran,0001-01-01,Defender,25
IPL2014,Esteghlal KHU,Hamdollah,Ebdam,Iran,0001-01-01,Midfield,
IPL2014,Esteghlal KHU,Hassan,Moaavi,Iran,0001-01-01,Midfield,18
IPL2014,Esteghlal KHU,Hojat,Chaharmahali,Iran,0001-01-01,Midfield,
IPL2014,Esteghlal KHU,Iman,Basafa,Iran,0001-01-01,Midfield,34
IPL2014,Esteghlal KHU,Lamine,Diawara,Mali,0001-01-01,Forward,9
IPL2014,Esteghlal KHU,Majid,Haydari,Iran,0001-01-01,Defender,3
IPL2014,Esteghlal KHU,Maysam,Majidi,Iran,0001-01-01,Midfield,
IPL2014,Esteghlal KHU,Maysam,Baoo,Iran,0001-01-01,Midfield,
IPL2014,Esteghlal KHU,Maysam,Doraghi,Iran,0001-01-01,Midfield,6
IPL2014,Esteghlal KHU,Maysam Parviz,Karimi,Iran,0001-01-01,Goalkeeper,1
IPL2014,Esteghlal KHU,Mehdi,Momeni,Iran,0001-01-01,Forward,10
IPL2014,Esteghlal KHU,Milad,Rabbanifard,Iran,0001-01-01,Defender,
IPL2014,Esteghlal KHU,Mohamad,Tayyebi,Iran,0001-01-01,Defender,2
IPL2014,Esteghlal KHU,Mohamad Ebrahim,Khosravi,Iran,0001-01-01,Defender,4
IPL2014,Esteghlal KHU,Mohamad Reza,Mahdavi,Iran,0001-01-01,Midfield,11
IPL2014,Esteghlal KHU,Mohsen,Bayat,Iran,0001-01-01,Midfield,
IPL2014,Esteghlal KHU,Mousa Salif,Coulibaly,Mali,0001-01-01,Defender,5
